,A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,Ion NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,Ion NumberofNeutrons,A1 Number of Shells,A2 Number of Shells,B Number of Shells,X1 Number of Shells,X2 Number of Shells,X3 Number of Shells,X4 Number of Shells,Ion Number of Shells,A1 Specific Heat,A2 Specific Heat,B Specific Heat,X1 Specific Heat,X2 Specific Heat,X3 Specific Heat,X4 Specific Heat,Ion Specific Heat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,Ion Density,A1 AtomicRadius,A2 AtomicRadius,B AtomicRadius,X1 AtomicRadius,X2 AtomicRadius,X3 AtomicRadius,X4 AtomicRadius,Ion AtomicRadius,A1 Firstlonization,A2 Firstlonization,B Firstlonization,X1 Firstlonization,X2 Firstlonization,X3 Firstlonization,X4 Firstlonization,Ion Firstlonization,A1 AtomicMass,A2  AtomicMass,B  AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,Ion AtomicMass,A1 Melting Point,A2 Melting Point,B Melting Point,X1 Melting Point,X2 Melting Point,X3 Melting Point,X4 Melting Point,Ion Melting Point,Adsorption energy(ev)
10,11,11,32,9,9,9,9,19,12,12,41,10,10,10,10,20,3,3,4,2,2,2,2,4,1.228,1.228,0.32,0.824,0.824,0.824,0.824,0.757,0.971,0.971,5.32,0.0017,0.0017,0.0017,0.0017,0.862,2.2,2.2,1.5,0.57,0.57,0.57,0.57,2.8,5.1391,5.1391,7.8994,17.4228,17.4228,17.4228,17.4228,4.3407,22.99,22.99,72.64,18.998,18.998,18.998,18.998,39.098,371.15,371.15,1211.45,53.63,53.63,53.63,53.63,336.5,-4.859987159
11,11,11,32,9,9,9,9,11,12,12,41,10,10,10,10,12,3,3,4,2,2,2,2,3,1.228,1.228,0.32,0.824,0.824,0.824,0.824,1.228,0.971,0.971,5.32,0.0017,0.0017,0.0017,0.0017,0.971,2.2,2.2,1.5,0.57,0.57,0.57,0.57,2.2,5.1391,5.1391,7.8994,17.4228,17.4228,17.4228,17.4228,5.1391,22.99,22.99,72.64,18.998,18.998,18.998,18.998,22.99,371.15,371.15,1211.45,53.63,53.63,53.63,53.63,371.15,-4.392485732
12,11,11,32,9,9,9,9,13,12,12,41,10,10,10,10,14,3,3,4,2,2,2,2,3,1.228,1.228,0.32,0.824,0.824,0.824,0.824,0.897,0.971,0.971,5.32,0.0017,0.0017,0.0017,0.0017,2.7,2.2,2.2,1.5,0.57,0.57,0.57,0.57,1.8,5.1391,5.1391,7.8994,17.4228,17.4228,17.4228,17.4228,5.9858,22.99,22.99,72.64,18.998,18.998,18.998,18.998,26.982,371.15,371.15,1211.45,53.63,53.63,53.63,53.63,933.4,2.445059067
13,11,11,32,9,9,9,9,20,12,12,41,10,10,10,10,20,3,3,4,2,2,2,2,4,1.228,1.228,0.32,0.824,0.824,0.824,0.824,0.647,0.971,0.971,5.32,0.0017,0.0017,0.0017,0.0017,1.54,2.2,2.2,1.5,0.57,0.57,0.57,0.57,2.2,5.1391,5.1391,7.8994,17.4228,17.4228,17.4228,17.4228,6.1132,22.99,22.99,72.64,18.998,18.998,18.998,18.998,40.078,371.15,371.15,1211.45,53.63,53.63,53.63,53.63,1112.15,-4.034477
14,11,11,32,9,9,9,9,12,12,12,41,10,10,10,10,12,3,3,4,2,2,2,2,3,1.228,1.228,0.32,0.824,0.824,0.824,0.824,1.023,0.971,0.971,5.32,0.0017,0.0017,0.0017,0.0017,1.74,2.2,2.2,1.5,0.57,0.57,0.57,0.57,1.7,5.1391,5.1391,7.8994,17.4228,17.4228,17.4228,17.4228,7.6462,22.99,22.99,72.64,18.998,18.998,18.998,18.998,24.305,371.15,371.15,1211.45,53.63,53.63,53.63,53.63,923.15,-1.905821399
15,11,11,32,9,9,9,9,9,12,12,41,10,10,10,10,10,3,3,4,2,2,2,2,2,1.228,1.228,0.32,0.824,0.824,0.824,0.824,0.824,0.971,0.971,5.32,0.0017,0.0017,0.0017,0.0017,0.0017,2.2,2.2,1.5,0.57,0.57,0.57,0.57,0.57,5.1391,5.1391,7.8994,17.4228,17.4228,17.4228,17.4228,17.4228,22.99,22.99,72.64,18.998,18.998,18.998,18.998,18.998,371.15,371.15,1211.45,53.63,53.63,53.63,53.63,53.63,-11.40650088
16,19,19,32,9,9,9,9,3,20,20,41,10,10,10,10,4,4,4,4,2,2,2,2,2,0.757,0.757,0.32,0.824,0.824,0.824,0.824,3.582,0.862,0.862,5.32,0.0017,0.0017,0.0017,0.0017,0.534,2.8,2.8,1.5,0.57,0.57,0.57,0.57,2.1,4.3407,4.3407,7.8994,17.4228,17.4228,17.4228,17.4228,5.3917,39.098,39.098,72.64,18.998,18.998,18.998,18.998,6.941,336.5,336.5,1211.45,53.63,53.63,53.63,53.63,453.85,-5.17872263
17,19,19,32,9,9,9,9,30,20,20,41,10,10,10,10,35,4,4,4,2,2,2,2,4,0.757,0.757,0.32,0.824,0.824,0.824,0.824,0.388,0.862,0.862,5.32,0.0017,0.0017,0.0017,0.0017,7.13,2.8,2.8,1.5,0.57,0.57,0.57,0.57,1.5,4.3407,4.3407,7.8994,17.4228,17.4228,17.4228,17.4228,9.3942,39.098,39.098,72.64,18.998,18.998,18.998,18.998,65.38,336.5,336.5,1211.45,53.63,53.63,53.63,53.63,692.88,1.015365728
18,19,19,32,9,9,9,9,19,20,20,41,10,10,10,10,20,4,4,4,2,2,2,2,4,0.757,0.757,0.32,0.824,0.824,0.824,0.824,0.757,0.862,0.862,5.32,0.0017,0.0017,0.0017,0.0017,0.862,2.8,2.8,1.5,0.57,0.57,0.57,0.57,2.8,4.3407,4.3407,7.8994,17.4228,17.4228,17.4228,17.4228,4.3407,39.098,39.098,72.64,18.998,18.998,18.998,18.998,39.098,336.5,336.5,1211.45,53.63,53.63,53.63,53.63,336.5,-4.279829728
19,19,19,32,9,9,9,9,11,20,20,41,10,10,10,10,12,4,4,4,2,2,2,2,3,0.757,0.757,0.32,0.824,0.824,0.824,0.824,1.228,0.862,0.862,5.32,0.0017,0.0017,0.0017,0.0017,0.971,2.8,2.8,1.5,0.57,0.57,0.57,0.57,2.2,4.3407,4.3407,7.8994,17.4228,17.4228,17.4228,17.4228,5.1391,39.098,39.098,72.64,18.998,18.998,18.998,18.998,22.99,336.5,336.5,1211.45,53.63,53.63,53.63,53.63,371.15,-3.49526924
20,19,19,32,9,9,9,9,13,20,20,41,10,10,10,10,14,4,4,4,2,2,2,2,3,0.757,0.757,0.32,0.824,0.824,0.824,0.824,0.897,0.862,0.862,5.32,0.0017,0.0017,0.0017,0.0017,2.7,2.8,2.8,1.5,0.57,0.57,0.57,0.57,1.8,4.3407,4.3407,7.8994,17.4228,17.4228,17.4228,17.4228,5.9858,39.098,39.098,72.64,18.998,18.998,18.998,18.998,26.982,336.5,336.5,1211.45,53.63,53.63,53.63,53.63,933.4,3.473451874
21,19,19,32,9,9,9,9,20,20,20,41,10,10,10,10,20,4,4,4,2,2,2,2,4,0.757,0.757,0.32,0.824,0.824,0.824,0.824,0.647,0.862,0.862,5.32,0.0017,0.0017,0.0017,0.0017,1.54,2.8,2.8,1.5,0.57,0.57,0.57,0.57,2.2,4.3407,4.3407,7.8994,17.4228,17.4228,17.4228,17.4228,6.1132,39.098,39.098,72.64,18.998,18.998,18.998,18.998,40.078,336.5,336.5,1211.45,53.63,53.63,53.63,53.63,1112.15,-5.440871128
22,19,19,32,9,9,9,9,12,20,20,41,10,10,10,10,12,4,4,4,2,2,2,2,3,0.757,0.757,0.32,0.824,0.824,0.824,0.824,1.023,0.862,0.862,5.32,0.0017,0.0017,0.0017,0.0017,1.74,2.8,2.8,1.5,0.57,0.57,0.57,0.57,1.7,4.3407,4.3407,7.8994,17.4228,17.4228,17.4228,17.4228,7.6462,39.098,39.098,72.64,18.998,18.998,18.998,18.998,24.305,336.5,336.5,1211.45,53.63,53.63,53.63,53.63,923.15,-3.421779538
23,19,19,32,9,9,9,9,9,20,20,41,10,10,10,10,10,4,4,4,2,2,2,2,2,0.757,0.757,0.32,0.824,0.824,0.824,0.824,0.824,0.862,0.862,5.32,0.0017,0.0017,0.0017,0.0017,0.0017,2.8,2.8,1.5,0.57,0.57,0.57,0.57,0.57,4.3407,4.3407,7.8994,17.4228,17.4228,17.4228,17.4228,17.4228,39.098,39.098,72.64,18.998,18.998,18.998,18.998,18.998,336.5,336.5,1211.45,53.63,53.63,53.63,53.63,53.63,-8.81777966
24,37,37,32,9,9,9,9,3,48,48,41,10,10,10,10,4,5,5,4,2,2,2,2,2,0.363,0.363,0.32,0.824,0.824,0.824,0.824,3.582,1.53,1.53,5.32,0.0017,0.0017,0.0017,0.0017,0.534,3.0,3.0,1.5,0.57,0.57,0.57,0.57,2.1,4.1771,4.1771,7.8994,17.4228,17.4228,17.4228,17.4228,5.3917,85.468,85.468,72.64,18.998,18.998,18.998,18.998,6.941,312.79,312.79,1211.45,53.63,53.63,53.63,53.63,453.85,-5.704848985
25,37,37,32,9,9,9,9,30,48,48,41,10,10,10,10,35,5,5,4,2,2,2,2,4,0.363,0.363,0.32,0.824,0.824,0.824,0.824,0.388,1.53,1.53,5.32,0.0017,0.0017,0.0017,0.0017,7.13,3.0,3.0,1.5,0.57,0.57,0.57,0.57,1.5,4.1771,4.1771,7.8994,17.4228,17.4228,17.4228,17.4228,9.3942,85.468,85.468,72.64,18.998,18.998,18.998,18.998,65.38,312.79,312.79,1211.45,53.63,53.63,53.63,53.63,692.88,0.635692636
26,37,37,32,9,9,9,9,19,48,48,41,10,10,10,10,20,5,5,4,2,2,2,2,4,0.363,0.363,0.32,0.824,0.824,0.824,0.824,0.757,1.53,1.53,5.32,0.0017,0.0017,0.0017,0.0017,0.862,3.0,3.0,1.5,0.57,0.57,0.57,0.57,2.8,4.1771,4.1771,7.8994,17.4228,17.4228,17.4228,17.4228,4.3407,85.468,85.468,72.64,18.998,18.998,18.998,18.998,39.098,312.79,312.79,1211.45,53.63,53.63,53.63,53.63,336.5,-3.757852566
27,37,37,32,9,9,9,9,11,48,48,41,10,10,10,10,12,5,5,4,2,2,2,2,3,0.363,0.363,0.32,0.824,0.824,0.824,0.824,1.228,1.53,1.53,5.32,0.0017,0.0017,0.0017,0.0017,0.971,3.0,3.0,1.5,0.57,0.57,0.57,0.57,2.2,4.1771,4.1771,7.8994,17.4228,17.4228,17.4228,17.4228,5.1391,85.468,85.468,72.64,18.998,18.998,18.998,18.998,22.99,312.79,312.79,1211.45,53.63,53.63,53.63,53.63,371.15,-3.568199095
28,37,37,32,9,9,9,9,13,48,48,41,10,10,10,10,14,5,5,4,2,2,2,2,3,0.363,0.363,0.32,0.824,0.824,0.824,0.824,0.897,1.53,1.53,5.32,0.0017,0.0017,0.0017,0.0017,2.7,3.0,3.0,1.5,0.57,0.57,0.57,0.57,1.8,4.1771,4.1771,7.8994,17.4228,17.4228,17.4228,17.4228,5.9858,85.468,85.468,72.64,18.998,18.998,18.998,18.998,26.982,312.79,312.79,1211.45,53.63,53.63,53.63,53.63,933.4,2.687744372
29,37,37,32,9,9,9,9,20,48,48,41,10,10,10,10,20,5,5,4,2,2,2,2,4,0.363,0.363,0.32,0.824,0.824,0.824,0.824,0.647,1.53,1.53,5.32,0.0017,0.0017,0.0017,0.0017,1.54,3.0,3.0,1.5,0.57,0.57,0.57,0.57,2.2,4.1771,4.1771,7.8994,17.4228,17.4228,17.4228,17.4228,6.1132,85.468,85.468,72.64,18.998,18.998,18.998,18.998,40.078,312.79,312.79,1211.45,53.63,53.63,53.63,53.63,1112.15,-5.57150012
30,37,37,32,9,9,9,9,12,48,48,41,10,10,10,10,12,5,5,4,2,2,2,2,3,0.363,0.363,0.32,0.824,0.824,0.824,0.824,1.023,1.53,1.53,5.32,0.0017,0.0017,0.0017,0.0017,1.74,3.0,3.0,1.5,0.57,0.57,0.57,0.57,1.7,4.1771,4.1771,7.8994,17.4228,17.4228,17.4228,17.4228,7.6462,85.468,85.468,72.64,18.998,18.998,18.998,18.998,24.305,312.79,312.79,1211.45,53.63,53.63,53.63,53.63,923.15,-2.414699298
31,37,37,32,9,9,9,9,9,48,48,41,10,10,10,10,10,5,5,4,2,2,2,2,2,0.363,0.363,0.32,0.824,0.824,0.824,0.824,0.824,1.53,1.53,5.32,0.0017,0.0017,0.0017,0.0017,0.0017,3.0,3.0,1.5,0.57,0.57,0.57,0.57,0.57,4.1771,4.1771,7.8994,17.4228,17.4228,17.4228,17.4228,17.4228,85.468,85.468,72.64,18.998,18.998,18.998,18.998,18.998,312.79,312.79,1211.45,53.63,53.63,53.63,53.63,53.63,-8.249667964
32,55,55,32,9,9,9,9,3,78,78,41,10,10,10,10,4,6,6,4,2,2,2,2,2,0.242,0.242,0.32,0.824,0.824,0.824,0.824,3.582,1.87,1.87,5.32,0.0017,0.0017,0.0017,0.0017,0.534,3.3,3.3,1.5,0.57,0.57,0.57,0.57,2.1,3.8939,3.8939,7.8994,17.4228,17.4228,17.4228,17.4228,5.3917,132.905,132.905,72.64,18.998,18.998,18.998,18.998,6.941,301.7,301.7,1211.45,53.63,53.63,53.63,53.63,453.85,-5.009409295
33,55,55,32,9,9,9,9,30,78,78,41,10,10,10,10,35,6,6,4,2,2,2,2,4,0.242,0.242,0.32,0.824,0.824,0.824,0.824,0.388,1.87,1.87,5.32,0.0017,0.0017,0.0017,0.0017,7.13,3.3,3.3,1.5,0.57,0.57,0.57,0.57,1.5,3.8939,3.8939,7.8994,17.4228,17.4228,17.4228,17.4228,9.3942,132.905,132.905,72.64,18.998,18.998,18.998,18.998,65.38,301.7,301.7,1211.45,53.63,53.63,53.63,53.63,692.88,-0.791493568
34,55,55,32,9,9,9,9,19,78,78,41,10,10,10,10,20,6,6,4,2,2,2,2,4,0.242,0.242,0.32,0.824,0.824,0.824,0.824,0.757,1.87,1.87,5.32,0.0017,0.0017,0.0017,0.0017,0.862,3.3,3.3,1.5,0.57,0.57,0.57,0.57,2.8,3.8939,3.8939,7.8994,17.4228,17.4228,17.4228,17.4228,4.3407,132.905,132.905,72.64,18.998,18.998,18.998,18.998,39.098,301.7,301.7,1211.45,53.63,53.63,53.63,53.63,336.5,-4.085265312
35,55,55,32,9,9,9,9,11,78,78,41,10,10,10,10,12,6,6,4,2,2,2,2,3,0.242,0.242,0.32,0.824,0.824,0.824,0.824,1.228,1.87,1.87,5.32,0.0017,0.0017,0.0017,0.0017,0.971,3.3,3.3,1.5,0.57,0.57,0.57,0.57,2.2,3.8939,3.8939,7.8994,17.4228,17.4228,17.4228,17.4228,5.1391,132.905,132.905,72.64,18.998,18.998,18.998,18.998,22.99,301.7,301.7,1211.45,53.63,53.63,53.63,53.63,371.15,-3.565520716
36,55,55,32,9,9,9,9,13,78,78,41,10,10,10,10,14,6,6,4,2,2,2,2,3,0.242,0.242,0.32,0.824,0.824,0.824,0.824,0.897,1.87,1.87,5.32,0.0017,0.0017,0.0017,0.0017,2.7,3.3,3.3,1.5,0.57,0.57,0.57,0.57,1.8,3.8939,3.8939,7.8994,17.4228,17.4228,17.4228,17.4228,5.9858,132.905,132.905,72.64,18.998,18.998,18.998,18.998,26.982,301.7,301.7,1211.45,53.63,53.63,53.63,53.63,933.4,1.699125694
37,55,55,32,9,9,9,9,20,78,78,41,10,10,10,10,20,6,6,4,2,2,2,2,4,0.242,0.242,0.32,0.824,0.824,0.824,0.824,0.647,1.87,1.87,5.32,0.0017,0.0017,0.0017,0.0017,1.54,3.3,3.3,1.5,0.57,0.57,0.57,0.57,2.2,3.8939,3.8939,7.8994,17.4228,17.4228,17.4228,17.4228,6.1132,132.905,132.905,72.64,18.998,18.998,18.998,18.998,40.078,301.7,301.7,1211.45,53.63,53.63,53.63,53.63,1112.15,-5.540833414
38,55,55,32,9,9,9,9,12,78,78,41,10,10,10,10,12,6,6,4,2,2,2,2,3,0.242,0.242,0.32,0.824,0.824,0.824,0.824,1.023,1.87,1.87,5.32,0.0017,0.0017,0.0017,0.0017,1.74,3.3,3.3,1.5,0.57,0.57,0.57,0.57,1.7,3.8939,3.8939,7.8994,17.4228,17.4228,17.4228,17.4228,7.6462,132.905,132.905,72.64,18.998,18.998,18.998,18.998,24.305,301.7,301.7,1211.45,53.63,53.63,53.63,53.63,923.15,-3.383696489
39,55,55,32,9,9,9,9,9,78,78,41,10,10,10,10,10,6,6,4,2,2,2,2,2,0.242,0.242,0.32,0.824,0.824,0.824,0.824,0.824,1.87,1.87,5.32,0.0017,0.0017,0.0017,0.0017,0.0017,3.3,3.3,1.5,0.57,0.57,0.57,0.57,0.57,3.8939,3.8939,7.8994,17.4228,17.4228,17.4228,17.4228,17.4228,132.905,132.905,72.64,18.998,18.998,18.998,18.998,18.998,301.7,301.7,1211.45,53.63,53.63,53.63,53.63,53.63,-7.281970438
40,3,3,50,9,9,9,9,3,4,4,69,10,10,10,10,4,2,2,5,2,2,2,2,2,3.582,3.582,0.228,0.824,0.824,0.824,0.824,3.582,0.534,0.534,7.29,0.0017,0.0017,0.0017,0.0017,0.534,2.1,2.1,1.7,0.57,0.57,0.57,0.57,2.1,5.3917,5.3917,7.3439,17.4228,17.4228,17.4228,17.4228,5.3917,6.941,6.941,118.71,18.998,18.998,18.998,18.998,6.941,453.85,453.85,505.21,53.63,53.63,53.63,53.63,453.85,-5.823138684
41,3,3,50,9,9,9,9,30,4,4,69,10,10,10,10,35,2,2,5,2,2,2,2,4,3.582,3.582,0.228,0.824,0.824,0.824,0.824,0.388,0.534,0.534,7.29,0.0017,0.0017,0.0017,0.0017,7.13,2.1,2.1,1.7,0.57,0.57,0.57,0.57,1.5,5.3917,5.3917,7.3439,17.4228,17.4228,17.4228,17.4228,9.3942,6.941,6.941,118.71,18.998,18.998,18.998,18.998,65.38,453.85,453.85,505.21,53.63,53.63,53.63,53.63,692.88,3.960145741
42,3,3,50,9,9,9,9,19,4,4,69,10,10,10,10,20,2,2,5,2,2,2,2,4,3.582,3.582,0.228,0.824,0.824,0.824,0.824,0.757,0.534,0.534,7.29,0.0017,0.0017,0.0017,0.0017,0.862,2.1,2.1,1.7,0.57,0.57,0.57,0.57,2.8,5.3917,5.3917,7.3439,17.4228,17.4228,17.4228,17.4228,4.3407,6.941,6.941,118.71,18.998,18.998,18.998,18.998,39.098,453.85,453.85,505.21,53.63,53.63,53.63,53.63,336.5,-6.456937371
43,3,3,50,9,9,9,9,11,4,4,69,10,10,10,10,12,2,2,5,2,2,2,2,3,3.582,3.582,0.228,0.824,0.824,0.824,0.824,1.228,0.534,0.534,7.29,0.0017,0.0017,0.0017,0.0017,0.971,2.1,2.1,1.7,0.57,0.57,0.57,0.57,2.2,5.3917,5.3917,7.3439,17.4228,17.4228,17.4228,17.4228,5.1391,6.941,6.941,118.71,18.998,18.998,18.998,18.998,22.99,453.85,453.85,505.21,53.63,53.63,53.63,53.63,371.15,-5.465505127
44,3,3,50,9,9,9,9,13,4,4,69,10,10,10,10,14,2,2,5,2,2,2,2,3,3.582,3.582,0.228,0.824,0.824,0.824,0.824,0.897,0.534,0.534,7.29,0.0017,0.0017,0.0017,0.0017,2.7,2.1,2.1,1.7,0.57,0.57,0.57,0.57,1.8,5.3917,5.3917,7.3439,17.4228,17.4228,17.4228,17.4228,5.9858,6.941,6.941,118.71,18.998,18.998,18.998,18.998,26.982,453.85,453.85,505.21,53.63,53.63,53.63,53.63,933.4,4.019632806
45,3,3,50,9,9,9,9,20,4,4,69,10,10,10,10,20,2,2,5,2,2,2,2,4,3.582,3.582,0.228,0.824,0.824,0.824,0.824,0.647,0.534,0.534,7.29,0.0017,0.0017,0.0017,0.0017,1.54,2.1,2.1,1.7,0.57,0.57,0.57,0.57,2.2,5.3917,5.3917,7.3439,17.4228,17.4228,17.4228,17.4228,6.1132,6.941,6.941,118.71,18.998,18.998,18.998,18.998,40.078,453.85,453.85,505.21,53.63,53.63,53.63,53.63,1112.15,-3.93656148
46,3,3,50,9,9,9,9,12,4,4,69,10,10,10,10,12,2,2,5,2,2,2,2,3,3.582,3.582,0.228,0.824,0.824,0.824,0.824,1.023,0.534,0.534,7.29,0.0017,0.0017,0.0017,0.0017,1.74,2.1,2.1,1.7,0.57,0.57,0.57,0.57,1.7,5.3917,5.3917,7.3439,17.4228,17.4228,17.4228,17.4228,7.6462,6.941,6.941,118.71,18.998,18.998,18.998,18.998,24.305,453.85,453.85,505.21,53.63,53.63,53.63,53.63,923.15,-1.165239062
47,3,3,50,9,9,9,9,9,4,4,69,10,10,10,10,10,2,2,5,2,2,2,2,2,3.582,3.582,0.228,0.824,0.824,0.824,0.824,0.824,0.534,0.534,7.29,0.0017,0.0017,0.0017,0.0017,0.0017,2.1,2.1,1.7,0.57,0.57,0.57,0.57,0.57,5.3917,5.3917,7.3439,17.4228,17.4228,17.4228,17.4228,17.4228,6.941,6.941,118.71,18.998,18.998,18.998,18.998,18.998,453.85,453.85,505.21,53.63,53.63,53.63,53.63,53.63,-12.05045103
